title,link,spreadsheet
Julius Caesar,https://docs.google.com/spreadsheets/d/e/2PACX-1vRJlM7YGeP1PQThZuf9Fomd-dQj85Dv2EGp5gvWyya9smdNLPGgCfdGHKUwts6sIgnnlzBYPVyaYKXI/pub?output=csv,https://docs.google.com/spreadsheets/d/1xgFJ0uM_jdk5J6D91zeB5FS_ym0Cd8u6XdWYx_X6QFA/copy
King John,https://docs.google.com/spreadsheets/d/e/2PACX-1vTAGVLCP2jJYWXkKX0-bejBRHLKKPPET7-v7NSX4cxX7n8udgdAr8kWV9qY2XoYC0cxtF955o6ceGm_/pub?output=csv,https://docs.google.com/spreadsheets/d/1QwpOKNv0zjFrnHgdy2lgL_uH_Oj9Pt3T7WychDpogSU/copy
King Lear,https://docs.google.com/spreadsheets/d/e/2PACX-1vRH6MHmt3FRPUdSvNAYM_xTHfqLqLpyQjnj2IrvrkiM5LPAi20sNe4X76ioRM3xzoqj9B9ANSkZA8F4/pub?output=csv,https://docs.google.com/spreadsheets/d/1cUo4RbOd5h7X-LEOOHwVXxfkgVsjvpEnOahK867l8Lo/copy
Loves Labours Lost,https://docs.google.com/spreadsheets/d/e/2PACX-1vSRZxHpfO8mUWZ2eS-TvM34O3R0fwn61Ja-Kprro0g1rhvuOEklMILPzWILm9emX_vUC5_CDlQuub12/pub?output=csv,https://docs.google.com/spreadsheets/d/1FlR-ZtZoWMNbv1lWZ8JgHkeybF3ix9oKGsUG8ga3bck/copy
macbeth,https://docs.google.com/spreadsheets/d/e/2PACX-1vTPzSENEyFFuL3k13Os_wURs_HC9j7NmXCgHyGmdNpY3rUbZBVP3MGRX7UriK-fJyZKF8UzQpTW8gX4/pub?output=csv,https://docs.google.com/spreadsheets/d/1SVq06-zujt_C583ZqqHkJeiDsPzFz3s-8awMhyLbUCs/copy
Measure for measure,https://docs.google.com/spreadsheets/d/e/2PACX-1vQna6SB4jJeyPY5MOH3BSHh53Ja3Njwfk_Zkxr7EGtU7xkn1juhUbEXduy6Ycbi6ayOg33a_NjjFqC_/pub?output=csv,https://docs.google.com/spreadsheets/d/1xEqFmkpQr8efgO4MZEgivHYAKoCZBYOD_30cKXrsEps/copy
Merchant of Venice,https://docs.google.com/spreadsheets/d/e/2PACX-1vSAVqxjrpa1KzSRLMrsaNa_Mv9I25-KhJI2KccMt7ffMUl8onJUW14rEAvYHn0sqVVn2A9u3yWReRBU/pub?output=csv,https://docs.google.com/spreadsheets/d/181bMCI24Eqr_yHQK_Lg74_QrU8PfcE9pWy29xKpvmxs/copy
Merry Wives of Windsor,https://docs.google.com/spreadsheets/d/e/2PACX-1vR-mWIRP8wehnFuI94Kt2lrNQkZAf3c39FMrVomlZgQsNHao85vX82BmEZ4Lcty68Lgd_1tOSA01ES3/pub?output=csv,https://docs.google.com/spreadsheets/d/1b6pJ2YQaxDZZOfdaKemI2M9Q9CZOJUFz6kudUT6LexI/copy
Much Ado about nothing,https://docs.google.com/spreadsheets/d/e/2PACX-1vRAUnDlqxVUaP0T3iYrR4X9IXxvKm2WRHFGEBQjbacBiQnQfmmdKuRKalMIHG20tyVQx0gZ7apdAmPk/pub?output=csv,https://docs.google.com/spreadsheets/d/1k9ClftqAxYjZRKnxTljpM3dQV5rxu9pnbDFPnfcQbj8/copy
Othello,https://docs.google.com/spreadsheets/d/e/2PACX-1vR4V85qpXdW4XcVAKr4JfSzN_s4qs2BjKHD0F50iIWkYf8wzpbWvOtWnCaoa-Hg4SEK1diGkCGgLog5/pub?output=csv,https://docs.google.com/spreadsheets/d/16INok293vCkIfr-4fqjBGDvcPa4dy2TaLT4aIg1h6Yg/copy
